Date,Plt,Well,WellID,Time_h,RawOD,Col,Row,Cpd,Qrt,uM,Species,Strain,Nick,Dil
2022-05-04,3,M1,1-3-M1,0,0.224,1,M,Azithromycin,1,100,S. flexneri,M90T,Sf,1000x
2022-05-04,3,M1,1-3-M1,1.08,0.254,1,M,Azithromycin,1,100,S. flexneri,M90T,Sf,1000x
2022-05-04,3,M1,1-3-M1,2.16,0.216,1,M,Azithromycin,1,100,S. flexneri,M90T,Sf,1000x
2022-05-04,3,M1,1-3-M1,3.24,0.214,1,M,Azithromycin,1,100,S. flexneri,M90T,Sf,1000x
2022-05-04,3,M1,1-3-M1,4.32,0.213,1,M,Azithromycin,1,100,S. flexneri,M90T,Sf,1000x
2022-05-04,3,M1,1-3-M1,5.41,0.213,1,M,Azithromycin,1,100,S. flexneri,M90T,Sf,1000x
2022-05-04,3,M1,1-3-M1,6.49,0.213,1,M,Azithromycin,1,100,S. flexneri,M90T,Sf,1000x
2022-05-04,3,M1,1-3-M1,7.57,0.212,1,M,Azithromycin,1,100,S. flexneri,M90T,Sf,1000x
2022-05-04,3,M1,1-3-M1,8.65,0.212,1,M,Azithromycin,1,100,S. flexneri,M90T,Sf,1000x
2022-05-04,3,M1,1-3-M1,9.73,0.212,1,M,Azithromycin,1,100,S. flexneri,M90T,Sf,1000x
2022-05-04,3,M1,1-3-M1,10.81,0.211,1,M,Azithromycin,1,100,S. flexneri,M90T,Sf,1000x
2022-05-04,3,M1,1-3-M1,11.9,0.212,1,M,Azithromycin,1,100,S. flexneri,M90T,Sf,1000x
2022-05-04,3,M1,1-3-M1,12.98,0.211,1,M,Azithromycin,1,100,S. flexneri,M90T,Sf,1000x
2022-05-04,3,M1,1-3-M1,14.06,0.211,1,M,Azithromycin,1,100,S. flexneri,M90T,Sf,1000x
2022-05-04,3,M1,1-3-M1,15.14,0.212,1,M,Azithromycin,1,100,S. flexneri,M90T,Sf,1000x
2022-05-04,3,M11,1-3-M11,0,0.201,11,M,Azithromycin,1,0.3,S. flexneri,M90T,Sf,1000x
2022-05-04,3,M11,1-3-M11,1.08,0.213,11,M,Azithromycin,1,0.3,S. flexneri,M90T,Sf,1000x
2022-05-04,3,M11,1-3-M11,2.16,0.216,11,M,Azithromycin,1,0.3,S. flexneri,M90T,Sf,1000x
2022-05-04,3,M11,1-3-M11,3.24,0.235,11,M,Azithromycin,1,0.3,S. flexneri,M90T,Sf,1000x
2022-05-04,3,M11,1-3-M11,4.32,0.3,11,M,Azithromycin,1,0.3,S. flexneri,M90T,Sf,1000x
2022-05-04,3,M11,1-3-M11,5.41,0.375,11,M,Azithromycin,1,0.3,S. flexneri,M90T,Sf,1000x
2022-05-04,3,M11,1-3-M11,6.49,0.418,11,M,Azithromycin,1,0.3,S. flexneri,M90T,Sf,1000x
2022-05-04,3,M11,1-3-M11,7.57,0.443,11,M,Azithromycin,1,0.3,S. flexneri,M90T,Sf,1000x
2022-05-04,3,M11,1-3-M11,8.65,0.477,11,M,Azithromycin,1,0.3,S. flexneri,M90T,Sf,1000x
2022-05-04,3,M11,1-3-M11,9.73,0.498,11,M,Azithromycin,1,0.3,S. flexneri,M90T,Sf,1000x
2022-05-04,3,M11,1-3-M11,10.81,0.509,11,M,Azithromycin,1,0.3,S. flexneri,M90T,Sf,1000x
2022-05-04,3,M11,1-3-M11,11.9,0.519,11,M,Azithromycin,1,0.3,S. flexneri,M90T,Sf,1000x
2022-05-04,3,M11,1-3-M11,12.98,0.531,11,M,Azithromycin,1,0.3,S. flexneri,M90T,Sf,1000x
2022-05-04,3,M11,1-3-M11,14.06,0.535,11,M,Azithromycin,1,0.3,S. flexneri,M90T,Sf,1000x
2022-05-04,3,M11,1-3-M11,15.14,0.542,11,M,Azithromycin,1,0.3,S. flexneri,M90T,Sf,1000x
2022-05-04,3,M13,1-3-M13,0,0.187,13,M,Azithromycin,1,0.1,S. flexneri,M90T,Sf,1000x
2022-05-04,3,M13,1-3-M13,1.08,0.199,13,M,Azithromycin,1,0.1,S. flexneri,M90T,Sf,1000x
2022-05-04,3,M13,1-3-M13,2.16,0.202,13,M,Azithromycin,1,0.1,S. flexneri,M90T,Sf,1000x
2022-05-04,3,M13,1-3-M13,3.24,0.222,13,M,Azithromycin,1,0.1,S. flexneri,M90T,Sf,1000x
2022-05-04,3,M13,1-3-M13,4.32,0.282,13,M,Azithromycin,1,0.1,S. flexneri,M90T,Sf,1000x
2022-05-04,3,M13,1-3-M13,5.41,0.336,13,M,Azithromycin,1,0.1,S. flexneri,M90T,Sf,1000x
2022-05-04,3,M13,1-3-M13,6.49,0.377,13,M,Azithromycin,1,0.1,S. flexneri,M90T,Sf,1000x
2022-05-04,3,M13,1-3-M13,7.57,0.412,13,M,Azithromycin,1,0.1,S. flexneri,M90T,Sf,1000x
2022-05-04,3,M13,1-3-M13,8.65,0.435,13,M,Azithromycin,1,0.1,S. flexneri,M90T,Sf,1000x
2022-05-04,3,M13,1-3-M13,9.73,0.461,13,M,Azithromycin,1,0.1,S. flexneri,M90T,Sf,1000x
2022-05-04,3,M13,1-3-M13,10.81,0.476,13,M,Azithromycin,1,0.1,S. flexneri,M90T,Sf,1000x
2022-05-04,3,M13,1-3-M13,11.9,0.488,13,M,Azithromycin,1,0.1,S. flexneri,M90T,Sf,1000x
2022-05-04,3,M13,1-3-M13,12.98,0.499,13,M,Azithromycin,1,0.1,S. flexneri,M90T,Sf,1000x
2022-05-04,3,M13,1-3-M13,14.06,0.508,13,M,Azithromycin,1,0.1,S. flexneri,M90T,Sf,1000x
2022-05-04,3,M13,1-3-M13,15.14,0.516,13,M,Azithromycin,1,0.1,S. flexneri,M90T,Sf,1000x
2022-05-04,3,M15,1-3-M15,0,0.17,15,M,Azithromycin,1,0.03,S. flexneri,M90T,Sf,1000x
2022-05-04,3,M15,1-3-M15,1.08,0.181,15,M,Azithromycin,1,0.03,S. flexneri,M90T,Sf,1000x
2022-05-04,3,M15,1-3-M15,2.16,0.182,15,M,Azithromycin,1,0.03,S. flexneri,M90T,Sf,1000x
2022-05-04,3,M15,1-3-M15,3.24,0.205,15,M,Azithromycin,1,0.03,S. flexneri,M90T,Sf,1000x
2022-05-04,3,M15,1-3-M15,4.32,0.279,15,M,Azithromycin,1,0.03,S. flexneri,M90T,Sf,1000x
2022-05-04,3,M15,1-3-M15,5.41,0.364,15,M,Azithromycin,1,0.03,S. flexneri,M90T,Sf,1000x
2022-05-04,3,M15,1-3-M15,6.49,0.412,15,M,Azithromycin,1,0.03,S. flexneri,M90T,Sf,1000x
