Time_h,OD,uM
0,0.03,100
1.08,0.03,100
2.16,0.03,100
3.24,0.03,100
4.32,0.03,100
5.41,0.03,100
6.49,0.03,100
7.57,0.03,100
8.65,0.03,100
9.73,0.03,100
10.82,0.03,100
11.9,0.03,100
12.98,0.03,100
14.06,0.03,100
15.14,0.03,100
0,0.03,0.3
1.08,0.03,0.3
2.16,0.044,0.3
3.24,0.11,0.3
4.32,0.168,0.3
5.41,0.211,0.3
6.49,0.247,0.3
7.57,0.279,0.3
8.65,0.293,0.3
9.73,0.313,0.3
10.82,0.321,0.3
11.9,0.331,0.3
12.98,0.33,0.3
14.06,0.338,0.3
15.14,0.342,0.3
0,0.03,0.1
1.08,0.03,0.1
2.16,0.044,0.1
3.24,0.105,0.1
4.32,0.16,0.1
5.41,0.203,0.1
6.49,0.235,0.1
7.57,0.267,0.1
8.65,0.279,0.1
9.73,0.296,0.1
10.82,0.308,0.1
11.9,0.32,0.1
12.98,0.317,0.1
14.06,0.331,0.1
15.14,0.335,0.1
0,0.03,0.03
1.08,0.03,0.03
2.16,0.052,0.03
3.24,0.125,0.03
4.32,0.182,0.03
5.41,0.219,0.03
6.49,0.245,0.03
7.57,0.268,0.03
8.65,0.286,0.03
9.73,0.296,0.03
10.82,0.308,0.03
11.9,0.32,0.03
12.98,0.324,0.03
14.06,0.331,0.03
15.14,0.339,0.03
0,0.03,0.01
1.08,0.03,0.01
2.16,0.053,0.01
3.24,0.13,0.01
4.32,0.192,0.01
5.41,0.229,0.01
6.49,0.252,0.01
7.57,0.274,0.01
8.65,0.291,0.01
9.73,0.303,0.01
10.82,0.313,0.01
11.9,0.326,0.01
12.98,0.33,0.01
14.06,0.336,0.01
15.14,0.344,0.01
0,0.03,0.003
1.08,0.03,0.003
2.16,0.047,0.003
3.24,0.115,0.003
4.32,0.172,0.003
5.41,0.212,0.003
6.49,0.242,0.003
7.57,0.266,0.003
8.65,0.285,0.003
9.73,0.299,0.003
10.82,0.31,0.003
11.9,0.324,0.003
12.98,0.328,0.003
14.06,0.334,0.003
15.14,0.342,0.003
0,0.03,0
1.08,0.03,0
2.16,0.048,0
3.24,0.125,0
4.32,0.194,0
5.41,0.243,0
6.49,0.281,0
7.57,0.307,0
8.65,0.323,0
9.73,0.337,0
10.82,0.342,0
11.9,0.35,0
12.98,0.352,0
14.06,0.358,0
15.14,0.363,0
0,0.03,-1
1.08,0.03,-1
2.16,0.03,-1
3.24,0.03,-1
4.32,0.03,-1
5.41,0.03,-1
6.49,0.03,-1
7.57,0.03,-1
8.65,0.03,-1
9.73,0.03,-1
10.82,0.03,-1
11.9,0.03,-1
12.98,0.03,-1
14.06,0.03,-1
15.14,0.03,-1
0,0.03,30
1.08,0.03,30
2.16,0.03,30
3.24,0.03,30
4.32,0.03,30
5.41,0.03,30
6.49,0.03,30
7.57,0.03,30
8.65,0.04,30
9.73,0.056,30
10.82,0.072,30
11.9,0.091,30
12.98,0.11,30
14.06,0.126,30
15.14,0.142,30
0,0.03,10
1.08,0.03,10
2.16,0.03,10
3.24,0.046,10
4.32,0.076,10
5.41,0.107,10
6.49,0.143,10
7.57,0.171,10
8.65,0.185,10
9.73,0.193,10
10.82,0.2,10
11.9,0.203,10
12.98,0.202,10
14.06,0.206,10
15.14,0.214,10
0,0.03,3
1.08,0.03,3
2.16,0.039,3
3.24,0.101,3
4.32,0.159,3
5.41,0.2,3
6.49,0.226,3
7.57,0.246,3
8.65,0.255,3
9.73,0.262,3
10.82,0.264,3
11.9,0.282,3
12.98,0.284,3
14.06,0.284,3
15.14,0.286,3
0,0.03,1
1.08,0.03,1
2.16,0.048,1
3.24,0.114,1
4.32,0.179,1
5.41,0.225,1
6.49,0.262,1
7.57,0.284,1
8.65,0.301,1
9.73,0.307,1
10.82,0.31,1
11.9,0.317,1
12.98,0.319,1
14.06,0.324,1
15.14,0.322,1
